brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
Acer,25990,21.6,1.5,14.0,157,4.0,8,1,0,2.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,3.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Wings,34990,0.0,1.6,15.6,141,8.0,8,1,0,4.0,17.85,,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
MSI,49990,21.7,1.86,15.6,141,12.0,16,1,0,8.0,51.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,12.0,intel,i5,intel,4.0,Integrated,0,0,1,0,,512.0
Acer,79745,25.9,2.6,15.6,141,12.0,8,1,0,8.0,,,1,1,0,0,0,0,1,0,,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0
Acer,35990,19.7,1.59,15.6,141,12.0,16,1,0,6.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,5.0,amd,5,intel,0.0,Integrated,0,0,1,0,,512.0
HP,92221,24.0,2.48,16.1,137,16.0,16,1,0,8.0,70.0,4.0,1,1,0,1,0,0,1,0,,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,1024.0
Wings,45990,16.3,1.48,14.0,157,8.0,16,1,0,4.0,17.85,,1,0,0,0,0,0,1,0,1.0,2.0,2.0,11.0,intel,i7,intel,0.0,Integrated,0,1,0,0,,512.0
HP,37650,17.9,1.7,15.6,141,4.0,8,1,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Asus,49990,20.0,1.8,16.0,283,12.0,8,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,0,1,,512.0
MSI,28990,19.35,1.4,14.0,157,4.0,8,1,0,2.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Apple,69990,16.1,1.29,13.3,227,8.0,8,0,0,8.0,49.9,,0,0,0,1,0,0,1,0,,2.0,2.0,1.0,apple,M1,apple,0.0,Integrated,0,0,1,0,,256.0
HP,55999,23.5,2.29,15.6,141,12.0,8,1,1,6.0,52.5,,1,1,1,0,0,0,1,0,,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0
Asus,85990,25.0,2.2,15.6,141,20.0,16,1,0,14.0,76.0,4.0,1,1,0,1,0,0,1,0,,2.0,2.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,,1024.0
Samsung,49990,18.5,1.8,15.6,141,12.0,16,1,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
Dell,67190,26.9,2.57,15.6,141,16.0,16,1,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
HP,45990,17.9,1.69,15.6,141,12.0,16,1,0,6.0,50.0,3.0,1,0,1,0,0,0,1,0,,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
Acer,34990,21.6,1.49,14.0,135,8.0,16,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Acer,59990,0.0,2.1,15.6,141,12.0,16,1,0,8.0,50.0,3.0,1,1,0,1,0,0,1,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,Integrated,0,0,1,0,,512.0
Asus,58990,0.0,1.8,15.6,141,16.0,16,1,0,12.0,70.0,3.0,1,0,0,1,0,0,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,57990,24.5,2.3,15.6,141,12.0,8,1,0,6.0,90.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
HP,62990,23.5,2.48,16.1,137,12.0,16,1,0,6.0,70.0,4.0,1,1,1,0,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Samsung,44990,18.5,1.8,15.6,141,12.0,8,1,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
HP,41990,17.9,1.69,15.6,141,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Acer,79990,25.9,2.6,15.6,141,12.0,16,1,0,8.0,,,1,1,0,0,0,0,1,0,,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0
Asus,64990,19.9,1.7,15.6,141,16.0,16,1,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i7,intel,0.0,Integrated,0,0,1,0,,512.0
Acer,62990,17.9,1.4,14.0,243,16.0,16,1,0,12.0,50.0,3.0,1,0,0,1,0,0,1,1,,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Lenovo,59990,0.0,1.7,15.6,141,12.0,16,1,0,10.0,50.0,3.0,1,1,1,0,0,0,1,0,,2.0,2.0,12.0,intel,i7,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,80980,22.8,2.2,15.6,141,16.0,16,1,0,8.0,90.0,4.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0
HP,38490,0.0,1.4,14.0,157,8.0,8,1,0,8.0,41.0,3.0,1,0,0,0,0,0,0,0,,2.0,1.0,13.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,61990,19.9,1.8,16.0,283,16.0,16,1,0,8.0,,,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Infinix,37990,14.8,1.24,14.0,157,12.0,16,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,,,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
