laptop_model,brand,price,num_votes,ratings,thickness,weight,warranty,screen_size,resolution_width,resolution_height,ppi,threads,ram,antiglare,aspect_ratio,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,inbuilt_microphone,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),Acer,25990,1086.0,4.1,21.6,1.5,1.0,14.0,1920.0,1080.0,157,4.0,8,1,0,0,2.0,45.5,2.0,1,1,0,0,0,0,0,0,1,1.0,3.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Wings,34990,69.0,4.7,0.0,1.6,1.0,15.6,1080.0,1920.0,141,8.0,8,1,0,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0
MSI Thin GF63 12HW-012IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),MSI,49990,172.0,4.25,21.7,1.86,2.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,8.0,51.0,3.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,12.0,intel,i5,intel,4.0,Integrated,0,0,1,0,,512.0
Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),Acer,79745,75.0,4.5,25.9,2.6,1.0,15.6,1920.0,1080.0,141,12.0,8,1,0,0,8.0,,,1,1,0,0,0,0,1,0,1,,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0
Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),Acer,35990,162.0,4.0,19.7,1.59,1.0,15.6,1920.0,1080.0,141,12.0,16,1,16:9,0,6.0,36.0,3.0,1,1,1,0,0,0,0,0,1,1.0,2.0,1.0,5.0,amd,5,intel,,Integrated,0,0,1,0,,512.0
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),HP,92221,406.0,4.3,24.0,2.48,1.0,16.1,1920.0,1080.0,137,16.0,16,1,16:9,0,8.0,70.0,4.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,1024.0
Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Wings,45990,89.0,4.15,16.3,1.48,1.0,14.0,1080.0,1920.0,157,8.0,16,1,0,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,2.0,11.0,intel,i7,intel,,Integrated,0,1,0,0,,512.0
HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),HP,37650,392.0,4.1,17.9,1.7,1.0,15.6,1920.0,1080.0,141,4.0,8,1,16:9,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,1,,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),Asus,49990,768.0,4.25,20.0,1.8,1.0,16.0,1920.0,1200.0,283,12.0,8,1,16:10,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,,512.0
MSI Modern 14 C11M-031IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),MSI,28990,703.0,4.2,19.35,1.4,1.0,14.0,1920.0,1080.0,157,4.0,8,1,0,0,2.0,,3.0,1,0,0,0,0,0,1,0,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),Apple,69990,14846.0,4.7,16.1,1.29,1.0,13.3,2560.0,1600.0,227,,8,0,0,0,8.0,49.9,,0,0,0,1,0,0,1,0,1,,2.0,2.0,,apple,M1,apple,,Integrated,0,0,1,0,,256.0
HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,55999,97.0,4.3,23.5,2.29,1.0,15.6,1920.0,1080.0,141,12.0,8,1,0,1,6.0,52.5,,1,1,1,0,0,0,1,0,1,,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0
Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),Asus,85990,68.0,4.4,25.0,2.2,1.0,15.6,1920.0,1080.0,141,20.0,16,1,0,0,14.0,76.0,4.0,1,1,0,1,0,0,1,0,1,,2.0,2.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,,1024.0
Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,49990,332.0,4.3,18.5,1.8,1.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0
Dell Inspiron 5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Dell,67190,119.0,4.35,26.9,2.57,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),HP,45990,66.0,4.25,17.9,1.69,1.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,6.0,,3.0,1,0,1,0,0,0,1,0,1,,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0
Acer One 14 Z8-415 2023 Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),Acer,34990,250.0,3.85,21.6,1.49,1.0,14.0,1920.0,1080.0,135,8.0,16,0,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,59990,233.0,4.2,0.0,2.1,1.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,8.0,50.0,3.0,1,1,0,1,0,0,1,1,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,Integrated,0,0,1,0,,512.0
Asus Vivobook S15 2022 K3502ZA-KJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,58990,169.0,4.3,0.0,1.8,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:9,0,12.0,70.0,3.0,1,0,0,1,0,0,1,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,57990,166.0,4.4,24.5,2.3,1.0,15.6,1920.0,1080.0,141,12.0,8,1,16:9,0,6.0,90.0,3.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
HP Victus 16-d0311TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,62990,263.0,4.1,23.5,2.48,1.0,16.1,1920.0,1080.0,137,12.0,16,1,16:9,0,6.0,70.0,4.0,1,1,1,0,0,0,1,0,1,,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Samsung,44990,335.0,4.2,18.5,1.8,1.0,15.6,1920.0,1080.0,141,12.0,8,1,0,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,41990,1624.0,4.2,17.9,1.69,1.0,15.6,1920.0,1080.0,141,8.0,8,1,16:9,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,1,,2.0,1.0,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Acer,79990,99.0,4.45,25.9,2.6,1.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,8.0,,,1,1,0,0,0,0,1,0,1,,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0
Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Asus,64990,349.0,4.0,19.9,1.7,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:9,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0
Acer Swift 3 OLED NX.KAWSI.002 Laptop (12th Gen Core i5/ 16GB/ 512B SSD/ Win11 Home),Acer,62990,236.0,4.55,17.9,1.4,1.0,14.0,2880.0,1800.0,243,16.0,16,1,16:10,0,12.0,,3.0,1,0,0,1,0,0,1,1,1,,2.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Lenovo Thinkpad E15 G4 21DJA0Y0IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,59990,69.0,4.0,0.0,1.7,1.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,10.0,,3.0,1,1,1,0,0,0,1,0,1,,2.0,2.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),Asus,80980,90.0,4.25,22.8,2.2,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:9,0,8.0,90.0,4.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0
